name,party,profile_url
Egzon Azemi,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Farush Rexhepi,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Bajram Mavriqi,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Luan Aliu,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Driton Hyseni,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Enver Dugolli,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Arijeta Rexhepi,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Shqipe Isufi,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Afërdita Hajrizi,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Ejup Ahmeti,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Abdullah Klinaku,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Mytaher Haskukaj,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Bylbyl Sokoli,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Ilir Qeriqi,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Ilir Kërçeli,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Mimoza Shala,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Arbërie Nagavci,Lëvizja Vetëvendosje,https://www.kuvendikosoves.org/shq/deputetet/
Fridon Lala,Iniciativa e Re Demokratike e Kosovës,https://www.kuvendikosoves.org/shq/deputetet/
Lazar Raduloviq,"Za Slobodu, Pravdu i Opstanak",https://www.kuvendikosoves.org/shq/deputetet/
Bahrim Shabani,Koalicija Vakat,https://www.kuvendikosoves.org/shq/deputetet/
Përparim Gruda,Partia Demokratike e Kosovës (PDK),https://www.kuvendikosoves.org/shq/deputetet/
