Name,Party
ADELINA GRAINCA,Lëvizja VETËVENDOSJE!
ADELINA THAQI META,LIDHJA DEMOKRATIKE E KOSOVËS
ADEM HODŽA,JEDINSTVENA GORANSKA PARTIJA
ADNAN RRUSTEMI,Lëvizja VETËVENDOSJE!
ADRIANA MATOSHI,Lëvizja VETËVENDOSJE!
AFËRDITA HAJRIZI,Lëvizja VETËVENDOSJE!
AGIM BAHTIRI,Lëvizja VETËVENDOSJE!
ALBAN BAJRAMI,Lëvizja VETËVENDOSJE!
ALBANA BYTYQI,ALEANCA PËR ARDHMËRINË E KOSOVËS
ALBENA RESHITAJ,Lëvizja VETËVENDOSJE!
ALBULENA HAXHIU,Lëvizja VETËVENDOSJE!
ANTON QUNI,LIDHJA DEMOKRATIKE E KOSOVËS
ARBEN MUSTAFA,PARTIA DEMOKRATIKE E KOSOVËS
ARBËR REXHAJ,Lëvizja VETËVENDOSJE!
ARBËRESHË KRYEZIU HYSENI,Lëvizja VETËVENDOSJE!
ARBËRIE NAGAVCI,Lëvizja VETËVENDOSJE!
ARBNORE SALIHU,PARTIA DEMOKRATIKE E KOSOVËS
ARDIAN GOLA,Lëvizja VETËVENDOSJE!
ARIAN TAHIRI,PARTIA DEMOKRATIKE E KOSOVËS
ARIANA MUSLIU SHOSHI,PARTIA DEMOKRATIKE E KOSOVËS
ARIJETA REXHEPI,Lëvizja VETËVENDOSJE!
ARJETA FEJZA,Lëvizja VETËVENDOSJE!
ARMEND ZEMAJ,LIDHJA DEMOKRATIKE E KOSOVËS
ARSIM ADEMI,Lëvizja VETËVENDOSJE!
ARTAN ABRASHI,Lëvizja VETËVENDOSJE!
ARTAN ASLLANI,PSA
ARTAN BEHRAMI,PARTIA DEMOKRATIKE E KOSOVËS
AVDULLAH HOTI,LIDHJA DEMOKRATIKE E KOSOVËS
AVDULLAH KLINAKU,Lëvizja VETËVENDOSJE!
AVNI DEHARI,Lëvizja VETËVENDOSJE!
BAHRIM ŠABANI,KOALICIJA VAKAT
BAJRAM MAVRIQI,Lëvizja VETËVENDOSJE!
BEDRI HAMZA,PARTIA DEMOKRATIKE E KOSOVËS
BEKË BERISHA,ALEANCA PËR ARDHMËRINË E KOSOVËS
BESA KABASHI RAMAJ,PARTIA DEMOKRATIKE E KOSOVËS
BESIAN MUSTAFA,LIDHJA DEMOKRATIKE E KOSOVËS
BESNIK TAHIRI,ALEANCA PËR ARDHMËRINË E KOSOVËS
BLERIM GASHI,Lëvizja VETËVENDOSJE!
BLERTA DELIU KODRA,PARTIA DEMOKRATIKE E KOSOVËS
BRANISLAV NIKOLIĆ,SRPSKA LISTA
BYLBYL SOKOLI,Lëvizja VETËVENDOSJE!
DAUT HARADINAJ,ALEANCA PËR ARDHMËRINË E KOSOVËS
DOARSA KICA XHELILI,LIDHJA DEMOKRATIKE E KOSOVËS
DRITA PAJAZITI,Lëvizja VETËVENDOSJE!
DRITON HYSENI,Lëvizja VETËVENDOSJE!
DUDA BALJE,SOCIJALDEMOKRATSKA UNIJA
EDONA LLALLOSHI,Lëvizja VETËVENDOSJE!
EGZON AZEMI,Lëvizja VETËVENDOSJE!
EJUP AHMETI,Lëvizja VETËVENDOSJE!
ELMI REÇICA,PARTIA DEMOKRATIKE E KOSOVËS
EMAN RRAHMANI,PARTIA DEMOKRATIKE E KOSOVËS
EMILIJA REDŽEPI,NOVA DEMOKRATSKA STRANKA
